,Research projects and communication, Data Carpentry, Programming skills and tools
9:30am, Help available for pre-workshop setup (all streams),,
10:00am, Workshops commence,,
,Research Project Management, Data Organisation, Intro to Unix shell and SSH
11:00am, BREAK,,
11:30am, Workshops continue,,
12:30pm, LUNCH (not provided),,
1:30pm, Workshops commence,,
,21st Century Academic: smart savvy and social, Social sciences introduction to R, Python for humanities
3:00pm, BREAK,,
3:30pm, Workshops continue,,
5:00pm, End of day 1,,
