Time,Session,Speakers,Title
9:00am,Welcome,Hon Clare Curran Minister of Broadcasting, Communications and Digital Media and Government Digital Services
9:15am,Keynote,Fabiana Kubke,Research project management
10:00am,3x 20 min Talks,TBC,
,,Gabrielle Davey, NZ's Integrated Data Infrastructure
,,Belinda Weaver, Growing communities, empowering researchers
11am, Morning tea ,Coffee!,
11:30am,3x 20 min Talks,Emma Burns, Making museum collections data usable and accessible
,,TBC,
,,TBC,
12:30pm, LUNCH ,Food!,
1:30pm,Keynote,Fiona Tweedie, The power of reinventing yourself and the magic of community
2:30pm,3x 20 min Talks,Michelle Barker, Australian National Infrastructure
,,Georgina Rae, New Zealand eScience Infrastructure
,,Sina Masoud-Ansari, UoA's Center for eResearch
3:30pm, Discussion,Jonah Duckles,
5:00pm, End,,
