"Day 1",,,,,
,"Ernst & Young lecture theatre","Python stream","R stream","Bioinformatics stream","Advanced stream"
"09:00-09:30","Introduction/Logistics/Welcome to country",,,,
"9:30-10:30",,"Intro to bash","Intro to bash","Data Carpentry Genomics","Introduction to PySpark"
"10:30-11:30","Morning Tea",,,,
"11:30-13:00",,"Intro to Python","Intro to R","Data Carpentry Genomics","Introduction to PySpark"
"13:00-14:00","Lunch break",,,,
"13:00-17:00",,"Intro to Python","Intro to R","Data Carpentry Genomics","Nimbus research cloud training"
,,,,,
"Day 2",,,,,
,"Ernst & Young lecture theatre","Python stream","R stream","Bioinformatics stream","Advanced stream"
"09:00-10:30",,"Intro to Python","Intro to R","Data Carpentry Genomics","Serial optimisation"
"10:30-11:30","Morning Tea",,,,
"11:30-13:00",,"Intro to Python","Intro to R","Data Carpentry Genomics","Serial optimisation"
"13:00-14:00","Lunch break",,,,
"13:00-17:00",,"Intro to git","Intro to git","Data Carpentry Genomics","Remote visualisation"
"17:00-18:00","Keynote: MP Dr. Anne Aly",,,,
,,,,,
"Day 3",,,,,
,"Ernst & Young lecture theatre","Python stream","R stream","Bioinformatics stream","Advanced stream"
"09:00-10:30",,"Small workshops","Small workshops","Small workshops","Small workshops"
"10:30-11:30","Morning Tea",,,,
"11:30-13:00",,"Small workshops","Small workshops","Small workshops","Small workshops"
"13:00-14:00","Lunch break",,,,
"13:00-17:00",,"Small workshops","Small workshops","Small workshops","Small workshops"
