,All Attendees,CODE Stream,LEARN    Stream Electives,LEARN    Stream Electives
8:15-8:45,Registration Open,,,
8:45-8:50,Welcome: Steven Warburton,,,
8:50-9:30,Key Story: Kylie Reiri,,,
9:30-10:30,,Intro to Data Visualization and Effective Use of Visual Variables,Author Carpentry,Intro to Video Abstracts
10:30-11:00,Morning Tea,,,
11:00-12:00,,Intro to Data Visualization and Effective Use of Visual Variables (cont),Social Media for Research,Intro to Video Abstracts (cont)
12:00-12:30,Research Showcase,,,
12:30-1:30,Lunch + Musical performance (Vic Uke),,,
1:30-3:30,,Version Control and Collaboration with Git*,Data & Narratives with Harkanwal Singh,Working with Wikipedia 
3:30-3:45,Afternoon Tea,,,
3:45-4:45,,Version Control and Collaboration with Git (cont.)*,Data & Narratives with Harkanwal Singh (cont.),Digital Storytelling with Knightlab
4:45-5:15,Key Story: Markus Luczak-Roesch,,,
